Majority protein IDs- with isoform information,Replicate,Ratio M/L 1,Ratio M/L 2,Ratio M/L 3,Ratio M/L 4,Ratio M/L 5,Ratio M/L 6,Ratio M/L 7,Ratio M/L 8,Ratio M/L 9,Ratio M/L 10,Ratio M/L 11,Ratio M/L 12,Ratio M/L 13,Ratio M/L 14,Ratio M/L 15,Ratio M/L 16,Ratio M/L 17,Ratio M/L 18,Ratio M/L 19,Ratio M/L 20,Ratio M/L 21,Ratio M/L 22,Ratio M/L 23,Ratio M/L 24,Ratio M/L 25,Ratio M/L 26,Ratio M/L 27,Ratio M/L 28,Ratio M/L 29,Ratio M/L 30,Ratio M/L 31,Ratio M/L 32,Ratio M/L 33,Ratio M/L 34,Ratio M/L 35,Ratio M/L 36,Ratio M/L 37,Ratio M/L 38,Ratio M/L 39,Ratio M/L 40,Ratio M/L 41,Ratio M/L 42,Ratio M/L 43,Ratio M/L 44,Ratio M/L 45,Ratio M/L 46,Ratio M/L 47,Ratio M/L 48,Ratio M/L 49,Ratio M/L 50,Ratio M/L 51,Ratio M/L 52,Ratio M/L 53,Ratio M/L 54,Ratio M/L 55
O15294,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O15355,1,0.11025,0.24582,NaN,0.10636,0.087181,0.067827,0.093521,0.082577,0.06899,0.12358,NaN,NaN,0.16713,0.20611,0.24852,0.071224,0.11887,0.069277,0.080315,0.10821,0.16842,NaN,0.17591,0.29335,0.15223,0.26976,0.16157,0.13674,0.22932,0.35535,0.2724,0.40975,0.50474,0.60172,0.74807,1.0669,1.0871,2.0952,2.7695,4.851,6.6865,8.3701,10.116,10.814,10.218,5.0026,2.8306,2.4925,1.3903,0.89564,0.51984,0.39586,NaN,NaN,NaN
O15379,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O15397,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.51681,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O15400-2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O15446,1,NaN,NaN,NaN,NaN,NaN,1.5319,1.2687,1.0809,0.96764,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O15511,1,NaN,NaN,NaN,NaN,NaN,0.10329,0.043389,NaN,0.20999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.58659,NaN,NaN,NaN,NaN,0.14922,NaN,NaN,0.11822,NaN,2.0041,4.7939,11.562,17.822,12.774,9.7128,5.6909,4.1175,2.0069,NaN,NaN
O15541,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.5081,NaN,NaN,NaN
O43143,1,NaN,NaN,1.3858,1.137,1.4541,1.2783,0.98955,0.99365,0.915,1.1005,NaN,1.1758,NaN,NaN,0.69035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O43148,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O43149,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.8507,2.5345,2.1162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O43156,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O43159,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O43164-2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O43172-2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O43175,1,0.094634,0.023346,0.076068,0.10757,0.070817,0.080956,0.057785,0.052642,0.075972,0.090665,0.077563,0.070468,0.05524,0.067935,0.089263,0.11552,0.12653,0.12756,0.15407,0.1689,0.1689,0.18052,0.25222,0.38586,0.62882,0.96676,1.3496,1.6603,1.5759,1.2328,0.87778,0.89401,0.79031,0.76366,0.78896,0.77438,0.57896,0.79869,0.7571,0.84452,0.90777,1.3161,1.9801,2.1033,3.0404,2.8371,3.1875,3.5472,4.2408,5.7534,7.9486,5.789,6.9285,2.0086,2.1362
O43242,1,0.16836,NaN,0.41466,NaN,NaN,0.23866,0.64241,1.4221,1.6053,1.692,3.3289,4.6777,4.4916,3.8159,3.0953,3.2342,3.2653,2.3942,1.428,1.1364,0.80317,0.78039,0.73726,NaN,0.58718,0.4731,0.47169,0.49966,NaN,0.48121,0.40582,0.63757,0.78098,0.40305,NaN,NaN,NaN,NaN,NaN,0.18851,NaN,0.76078,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O43252,1,0.14929,0.13888,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.221,NaN,0.12574,NaN,NaN,0.17282,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.20424,NaN,NaN,NaN,NaN,NaN,0.90938,2.4787,2.799,5.0975,4.3237,2.1079,NaN
O43264,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5394,3.5903,3.5661,2.8509,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O43290,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O43314-2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O43318,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O43324,1,NaN,0.52053,5.6859,14.525,8.4527,6.8177,5.8967,4.6415,3.1389,2.1238,1.843,1.8091,NaN,1.1339,1.0057,0.66391,0.46631,NaN,NaN,0.33025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.17038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O43379,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O43390,1,NaN,NaN,1.3026,NaN,NaN,3.6093,3.2804,1.896,1.826,3.2567,4.5319,NaN,NaN,1.8205,1.5711,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O43395,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O43396,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.73945,2.5539,3.7338,3.6647,2.3282,2.1832,2.3983,1.8091,NaN,0.90839,NaN,NaN,NaN,0.94055,0.91848,0.8449,0.75822,0.90358,0.96409,1.108,0.89831,1.0772,0.97004,1.0559,0.94756,1.0468,NaN,1.3918,1.1313,1.18,0.94874,1.1703,1.0873,NaN,NaN,NaN,NaN,NaN,NaN,1.1865,NaN,NaN,NaN,NaN,NaN
O43399,1,NaN,0.51959,2.1366,3.3931,1.8701,1.9738,2.4846,1.6812,1.6108,1.9861,1.5749,1.6306,1.3243,1.222,1.1338,0.97114,0.758,0.6309,NaN,0.46429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.40366,0.46299,NaN,NaN,NaN,0.37455,NaN,NaN,NaN,0.39508,0.60212,NaN,NaN,1.9305,1.9209,1.8123,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O43399-2,1,NaN,NaN,NaN,2.5505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O43427-2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O43447,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O43482,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O43516,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O43566,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O43583,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.9568,5.0194
O43592,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.70613,0.86873,1.2718,1.6602,1.5732,NaN,4.5714,NaN,NaN,4.7364,NaN,6.5048,1.5006,NaN,NaN,NaN
O43617-2,1,NaN,0.89435,1.5013,1.6629,NaN,0.78019,0.59116,0.5688,0.54294,NaN,NaN,NaN,NaN,0.60165,NaN,NaN,NaN,NaN,NaN,2.1857,NaN,NaN,2.9839,NaN,1.9494,2.1965,1.2865,NaN,NaN,NaN,NaN,NaN,NaN,0.81686,NaN,NaN,NaN,NaN,0.72721,NaN,NaN,0.56579,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O43660-2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O43681,1,NaN,NaN,NaN,NaN,NaN,0.88199,0.94015,0.94183,1.038,NaN,1.158,1.2439,NaN,1.533,1.3609,2.2964,1.9418,2.6895,2.9191,1.9407,1.6178,1.136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.91999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.80232,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O43684,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O43707,1,0.09624,0.21945,0.092354,0.077028,0.098689,0.073245,0.21259,0.29555,0.17923,0.36039,0.23063,0.26931,0.12051,0.09209,0.13235,0.084373,0.06336,0.27086,0.19984,0.13132,0.20643,0.89757,2.0712,4.6973,5.6744,5.7861,4.1545,3.8442,3.4492,1.5139,0.99479,0.66417,0.42853,0.29552,0.16217,0.15609,0.13301,0.17751,0.16251,0.12211,0.049835,0.049655,0.095314,NaN,NaN,0.19148,0.10459,NaN,0.14398,0.12121,0.13914,NaN,NaN,NaN,NaN
O43719,1,NaN,0.13712,NaN,NaN,0.065783,0.16078,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.12827,0.14961,0.17199,0.39404,1.6929,3.2514,4.4358,5.103,8.9121,5.2724,5.8808,3.8577,2.7873,2.0296,0.98054,0.84181,0.59258,0.44715,0.31507,0.24427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O43765,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4839,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9772,1.5285,2.1088
O43776,1,0.16787,0.22737,0.14059,0.068966,0.064072,0.096159,NaN,NaN,0.063426,0.10858,0.2106,NaN,NaN,NaN,0.11337,NaN,0.14503,0.086496,0.092876,NaN,NaN,NaN,NaN,NaN,NaN,0.15126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0688,NaN,0.1919,NaN,NaN,0.5399,NaN,0.093608,NaN,0.41024,1.4961,2.6275,5.9816,3.5021,3.1455,2.4738,1.9733,1.3498,0.70864,NaN,NaN
O43805,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.22122,NaN,0.80468,3.944,4.948,8.6009,9.3797,8.7749,NaN,5.1746,NaN,NaN,NaN,NaN,NaN,NaN
O43809,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O43815,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O43823,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O43837,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O43852,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.7848,6.3282,4.4988,2.6737,2.4219,3.9445,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O43852-2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O43865,1,NaN,NaN,NaN,NaN,NaN,0.34297,0.67571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.46121,0.42981,NaN,NaN,0.40754,1.0219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.49649,NaN,0.51954,0.74146,NaN,1.1853,NaN,1.5435,1.4468,1.9351,2.8559,3.0192,3.7597,4.9074,7.5832,3.969,8.7795,8.6935,7.4084,NaN,3.1018,NaN,2.9971,NaN,NaN,NaN,NaN
O60216,1,NaN,NaN,NaN,1.903,1.9675,1.6025,1.3441,NaN,1.2632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O60220,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O60231,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O60232,1,NaN,NaN,NaN,NaN,NaN,0.43946,0.54199,0.59491,0.82493,1.3061,NaN,NaN,3.705,4.7647,2.6133,3.8589,2.395,1.5624,1.0862,0.82222,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O60256,1,NaN,NaN,NaN,NaN,NaN,0.47325,0.32029,0.27485,0.23841,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.50187,NaN,0.68491,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.3888,2.4241
