ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	Subunits comment	SWISSPROT organism	subunits(Protein name)	Disease comment	PubMed ID	subunits(Gene name)	Complex comment
242	BRCA1-BACH1 complex	Human	None	None	P38398;Q9BX63	672;83990	MI:0006- anti bait coimmunoprecipitation	GO:0006281;GO:0005634	DNA repair;nucleus	10.01.05;10.01.05.01;70.10	DNA recombination and DNA repair;DNA repair;nucleus	None	Homo sapiens;Homo sapiens	Breast cancer type 1 susceptibility protein;Fanconi anemia group J protein	BRCA1 is involved in breast cancer.	11301010	BRCA1;BRIP1	An intact BRCA1 C-terminal region is necessary for the interaction with BACH1.
243	RalBP1-CDC2-CCNB1 complex	Human	None	None	P06493;P14635;Q15311	983;891;10928	MI:0019- coimmunoprecipitation; MI:0096- pull down	GO:0000278;GO:0006468;GO:0006470;GO:0046777;GO:0006464;GO:0050789;GO:0005634	mitotic cell cycle;protein phosphorylation;protein dephosphorylation;protein autophosphorylation;cellular protein modification process;regulation of biological process;nucleus	10.03.01;10.03.01.01;14.07.03;14;14.07;18.01.01;18.01;18.02;18.02.10;70.10	mitotic cell cycle and cell cycle control;mitotic cell cycle;modification by phosphorylation, dephosphorylation, autophosphorylation;PROTEIN FATE (folding, modification, destination);protein modification;regulation by modification;regulation by ;regulation of protein activity;regulation of channel activity;nucleus	None	Homo sapiens;Homo sapiens;Homo sapiens	Cell division control protein 2 homolog;G2/mitotic-specific cyclin-B1;RalA-binding protein 1	None	12775724	CDC2;CCNB1;RALBP1	The complex was only detected in mitotic cell extracts. The authors show that RLIP76 associates with a catalytically active cyclinB·p34cdc2(cdk1) complex.
244	BRAFT complex	Human	BLM complex I	None	O15287;O15360;P15927;P27694;P35244;P40692;P54132;Q00597;Q13472;Q9H9A7;Q9HB96;Q9NPI8;Q9NW38	2189;2175;6118;6117;6119;4292;641;2176;7156;80010;2178;2188;55120	MI:0006- anti bait coimmunoprecipitation	GO:0051276;GO:0006281;GO:0006974;GO:0005634	chromosome organization;DNA repair;cellular response to DNA damage stimulus;nucleus	10.01.02;42.10.03;10.01.05;10.01.05.01;32.01.09;70.10	DNA topology;organization of chromosome structure;DNA recombination and DNA repair;DNA repair;DNA damage response;nucleus	The BRAFT complex contains several other proteins of unknown function, called FAAPs or BLAPs. FAAP 43 has been identified as FANCL/PHF9 in a following paper (PMID:12973351).	Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens	Fanconi anemia group G protein, ;Fanconi anemia group A protein, ;Replication protein A 32 kDa subunit;Replication protein A 70 kDa DNA-binding subunit;Replication protein A 14 kDa subunit;DNA mismatch repair protein Mlh1;Bloom syndrome protein, ;Fanconi anemia group C protein, ;DNA topoisomerase 3-alpha;RecQ-mediated genome instability protein 1;Fanconi anemia group E protein, ;Fanconi anemia group F protein, ;E3 ubiquitin-protein ligase FANCL	BRAFT complex is involved in Fanconi Anemia (FA) and Bloom Syndrome (BS).	12724401	FANCG;FANCA;RPA2;RPA1;RPA3;MLH1;BLM;FANCC;TOP3A;RMI1;FANCE;FANCF;FANCL	None
245	FA core complex (Fanconi anemia core complex)	Human	None	None	O15287;O15360;Q00597;Q0VG06;Q8NB91;Q9H9A7;Q9HB96;Q9NPI8;Q9NW38	2189;2175;2176;80233;2187;80010;2178;2188;55120	MI:0006- anti bait coimmunoprecipitation	GO:0016567;GO:0016579;GO:0006974;GO:0005634	protein ubiquitination;protein deubiquitination;cellular response to DNA damage stimulus;nucleus	14.07.05;32.01.09;70.10	modification by ubiquitination, deubiquitination;DNA damage response;nucleus	FANCB and FANCL have been designated as FAAP90 and FAAP43. RMI1 has been designated as FAAP75.	Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens	Fanconi anemia group G protein, ;Fanconi anemia group A protein, ;Fanconi anemia group C protein, ;Fanconi anemia-associated protein of 100 kDa;Fanconi anemia group B protein;RecQ-mediated genome instability protein 1;Fanconi anemia group E protein, ;Fanconi anemia group F protein, ;E3 ubiquitin-protein ligase FANCL	FA complex is involved in Fanconi anemia (FA) disease.	12724401	FANCG;FANCA;FANCC;FAAP100;FANCB;RMI1;FANCE;FANCF;FANCL	None
246	BLM complex III	Human	BLM-CIII complex	None	P40692;P54132;Q13472;Q9H9A7	4292;641;7156;80010	MI:0006- anti bait coimmunoprecipitation	GO:0051276;GO:0006281;GO:0006974;GO:0005634	chromosome organization;DNA repair;cellular response to DNA damage stimulus;nucleus	10.01.02;42.10.03;10.01.05;10.01.05.01;32.01.09;70.10	DNA topology;organization of chromosome structure;DNA recombination and DNA repair;DNA repair;DNA damage response;nucleus	Another subunit of the complex was found in the analysis, which has not been further characterized: BLAPp100.	Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens	DNA mismatch repair protein Mlh1;Bloom syndrome protein, ;DNA topoisomerase 3-alpha;RecQ-mediated genome instability protein 1	BLM complex III is involved in Bloom syndrome (BS).	12724401	MLH1;BLM;TOP3A;RMI1	None
247	RalBP1-CCNB1-AP2A-NUMB-EPN1 complex	Human	None	None	O94973;O95782;P14635;P49757;Q15311;Q9Y6I3	161;160;891;8650;10928;29924	MI:0019- coimmunoprecipitation	GO:0000278;GO:0006897;GO:0005634	mitotic cell cycle;endocytosis;nucleus	10.03.01;10.03.01.01;20.09.18.09.01;70.10	mitotic cell cycle and cell cycle control;mitotic cell cycle;endocytosis;nucleus	None	Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens	AP-2 complex subunit alpha-2;AP-2 complex subunit alpha-1;G2/mitotic-specific cyclin-B1;Protein numb homolog;RalA-binding protein 1;Epsin-1	None	12775724	AP2A2;AP2A1;CCNB1;NUMB;RALBP1;EPN1	RLIP, an effector of the RAL GTPases, is important for the mitotic cdk1 to facilitate the phosphorylation of Epsin.
248	BRAFT complex	Human	None	None	O15287;O15360;P15927;P27694;P35244;P54132;Q00597;Q13472;Q9HB96;Q9NPI8;Q9NW38	2189;2175;6118;6117;6119;641;2176;7156;2178;2188;55120	MI:0006- anti bait coimmunoprecipitation	GO:0051276;GO:0006281;GO:0016567;GO:0016579;GO:0006974;GO:0005634	chromosome organization;DNA repair;protein ubiquitination;protein deubiquitination;cellular response to DNA damage stimulus;nucleus	10.01.02;42.10.03;10.01.05;10.01.05.01;14.07.05;32.01.09;70.10	DNA topology;organization of chromosome structure;DNA recombination and DNA repair;DNA repair;modification by ubiquitination, deubiquitination;DNA damage response;nucleus	FANCL/PHF9 (formerly called FAAP 43) is a newly identified component of the BRAFT complex.	Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens	Fanconi anemia group G protein, ;Fanconi anemia group A protein, ;Replication protein A 32 kDa subunit;Replication protein A 70 kDa DNA-binding subunit;Replication protein A 14 kDa subunit;Bloom syndrome protein, ;Fanconi anemia group C protein, ;DNA topoisomerase 3-alpha;Fanconi anemia group E protein, ;Fanconi anemia group F protein, ;E3 ubiquitin-protein ligase FANCL	None	12973351	FANCG;FANCA;RPA2;RPA1;RPA3;BLM;FANCC;TOP3A;FANCE;FANCF;FANCL	None
249	Caspase-2-TRAF2-RIP1 complex	Mouse	None	None	P29594;P39429;Q62172	12366;22030;19765	MI:0007- anti tag coimmunoprecipitation; MI:0071- molecular sieving	GO:0000165;GO:0007249	MAPK cascade;I-kappaB kinase/NF-kappaB signaling	30.01.05.01.03;30.01.05.01.04	MAPKKK cascade;NIK-I-kappaB/NF-kappaB cascade	None	Mus musculus;Mus musculus;Mus musculus	Caspase-2;TNF receptor-associated factor 2;RalA-binding protein 1	None	15590671	Casp2;Traf2;Ralbp1	This complex activates NF-kappaB and p38 MAPK through the caspase recruitment domain of caspase-2 independently of its proteolytic activity.
251	BCDX2 complex	Human	RAD51B-RAD51C-RAD51D-XRCC2 complex	None	O15315;O43502;O43543;O75771	5890;5889;7516;5892	MI:0004- affinity chromatography technologies; MI:0006- anti bait coimmunoprecipitation	GO:0006281;GO:0006310;GO:0003677;GO:0005524;GO:0006974;GO:0005634	DNA repair;DNA recombination;DNA binding;ATP binding;cellular response to DNA damage stimulus;nucleus	10.01.05;10.01.05.01;10.01.05.03;16.03.01;16.19.03;32.01.09;70.10	DNA recombination and DNA repair;DNA repair;DNA recombination;DNA binding;ATP binding;DNA damage response;nucleus	None	Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens	DNA repair protein RAD51 homolog 2;DNA repair protein RAD51 homolog 3;DNA repair protein XRCC2;DNA repair protein RAD51 homolog 4	None	11751635	RAD51L1;RAD51C;XRCC2;RAD51L3	BCDX2 binds specifically to nicks in duplex DNA (PMID:11751635).
252	RAD51C-XRCC3 complex	Human	None	None	O43502;O43542	5889;7517	MI:0006- anti bait coimmunoprecipitation; MI:0004- affinity chromatography technologies	GO:0006794;GO:0006796;GO:0006281;GO:0006310;GO:0006310;GO:0003677;GO:0005524;GO:0006974;GO:0005634	phosphorus utilization;phosphate-containing compound metabolic process;DNA repair;DNA recombination;DNA recombination;DNA binding;ATP binding;cellular response to DNA damage stimulus;nucleus	01.04;10.01.05;10.01.05.01;10.01.05.03;16.03.01;16.19.03;32.01.09;70.10	phosphate metabolism;DNA recombination and DNA repair;DNA repair;DNA recombination;DNA binding;ATP binding;DNA damage response;nucleus	None	Homo sapiens;Homo sapiens	DNA repair protein RAD51 homolog 3;DNA repair protein XRCC3	None	11751635	RAD51C;XRCC3	None
253	RAD51C-XRCC3 complex	Human	None	None	O43502;O43542	5889;7517	MI:0004- affinity chromatography technologies	GO:0006281;GO:0006310;GO:0003677;GO:0005524;GO:0006974;GO:0005634	DNA repair;DNA recombination;DNA binding;ATP binding;cellular response to DNA damage stimulus;nucleus	10.01.05;10.01.05.01;10.01.05.03;16.03.01;16.19.03;32.01.09;70.10	DNA recombination and DNA repair;DNA repair;DNA recombination;DNA binding;ATP binding;DNA damage response;nucleus	None	Homo sapiens;Homo sapiens	DNA repair protein RAD51 homolog 3;DNA repair protein XRCC3	None	15037616	RAD51C;XRCC3	The authors postulate that XRCC3 regulates the dissociation and formation of Rad51C-XRCC3 complex through ATP binding and hydrolysis.
254	TBPIP/HOP2-MND1 complex	Human	None	None	Q9BWT6;Q9P2W1	84057;29893	MI:0004- affinity chromatography technologies	GO:0007131;GO:0007126;GO:0000280;GO:0007059;GO:0003677;GO:0051098;GO:0005515;GO:0030234;GO:0050790;GO:0005634	reciprocal meiotic recombination;meiotic nuclear division;nuclear division;chromosome segregation;DNA binding;regulation of binding;protein binding;enzyme regulator activity;regulation of catalytic activity;nucleus	10.01.05.03.01;10.03.02;10.03.04;10.03.04.07;10.03.04.05;16.03.01;18.01.07;16.01;18.02.01;70.10	meiotic recombination;meiosis;nuclear and chromosomal cycle;nuclear division;chromosome segregation/division;DNA binding;regulation by binding / dissociation;protein binding;enzymatic activity regulation / enzyme regulator;nucleus	None	Homo sapiens;Homo sapiens	Meiotic nuclear division protein 1 homolog;Homologous-pairing protein 2 homolog	None	16407260	MND1;PSMC3IP	The complex ensures proper pairing between homologous chromosomes.
255	TBPIP/HOP2-Mnd1 complex	Mouse	None	None	O35047;Q8K396	19183;76915	MI:0004- affinity chromatography technologies	GO:0007131;GO:0007126;GO:0000280;GO:0007059;GO:0005515;GO:0003677;GO:0051098;GO:0030234;GO:0050790;GO:0005634	reciprocal meiotic recombination;meiotic nuclear division;nuclear division;chromosome segregation;protein binding;DNA binding;regulation of binding;enzyme regulator activity;regulation of catalytic activity;nucleus	10.01.05.03.01;10.03.02;10.03.04;10.03.04.07;10.03.04.05;16.01;18.01.07;16.03.01;18.02.01;70.10	meiotic recombination;meiosis;nuclear and chromosomal cycle;nuclear division;chromosome segregation/division;protein binding;regulation by binding / dissociation;DNA binding;enzymatic activity regulation / enzyme regulator;nucleus	None	Mus musculus;Mus musculus	Homologous-pairing protein 2 homolog;Meiotic nuclear division protein 1 homolog	None	15834424	Psmc3ip;Mnd1	The complex ensures proper pairing between homologous chromosomes.
256	RAD51B-RAD51C complex	Human	None	None	O15315;O43502	5890;5889	MI:0006- anti bait coimmunoprecipitation	GO:0006281;GO:0006310;GO:0003677;GO:0005524;GO:0005634	DNA repair;DNA recombination;DNA binding;ATP binding;nucleus	10.01.05;10.01.05.01;10.01.05.03;16.03.01;16.19.03;70.10	DNA recombination and DNA repair;DNA repair;DNA recombination;DNA binding;ATP binding;nucleus	None	Homo sapiens;Homo sapiens	DNA repair protein RAD51 homolog 2;DNA repair protein RAD51 homolog 3	None	11751636	RAD51L1;RAD51C	None
257	Hop2-Mnd1 complex	Mouse	None	None	O35047;Q8K396	19183;76915	MI:0006- anti bait coimmunoprecipitation; MI:0004- affinity chromatography technologies	GO:0007131;GO:0007127;GO:0005515;GO:0003677;GO:0051098;GO:0030234;GO:0050790;GO:0005634	reciprocal meiotic recombination;meiosis I;protein binding;DNA binding;regulation of binding;enzyme regulator activity;regulation of catalytic activity;nucleus	10.01.05.03.01;10.03.02.01;16.01;18.01.07;16.03.01;18.02.01;70.10	meiotic recombination;meiosis I;protein binding;regulation by binding / dissociation;DNA binding;enzymatic activity regulation / enzyme regulator;nucleus	None	Mus musculus;Mus musculus	Homologous-pairing protein 2 homolog;Meiotic nuclear division protein 1 homolog	None	16675459	Psmc3ip;Mnd1	Only the heterodimeric complex, but not the individual proteins, can stimulate strand invasion by Dmc1.
258	BCDX2 complex	Human	RAD51B-RAD51C-RAD51D-XRCC2 complex	None	O15315;O43502;O43543;O75771	5890;5889;7516;5892	MI:0007- anti tag coimmunoprecipitation	GO:0006281;GO:0006310;GO:0003677;GO:0005524;GO:0006974;GO:0005634	DNA repair;DNA recombination;DNA binding;ATP binding;cellular response to DNA damage stimulus;nucleus	10.01.05;10.01.05.01;10.01.05.03;16.03.01;16.19.03;32.01.09;70.10	DNA recombination and DNA repair;DNA repair;DNA recombination;DNA binding;ATP binding;DNA damage response;nucleus	None	Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens	DNA repair protein RAD51 homolog 2;DNA repair protein RAD51 homolog 3;DNA repair protein XRCC2;DNA repair protein RAD51 homolog 4	None	11842113	RAD51L1;RAD51C;XRCC2;RAD51L3	None
259	RAD51C-XRCC3 complex	Human	None	None	O43502;O43542	5889;7517	MI:0007- anti tag coimmunoprecipitation	GO:0006281;GO:0006310;GO:0003677;GO:0005524;GO:0006974;GO:0005634	DNA repair;DNA recombination;DNA binding;ATP binding;cellular response to DNA damage stimulus;nucleus	10.01.05;10.01.05.01;10.01.05.03;16.03.01;16.19.03;32.01.09;70.10	DNA recombination and DNA repair;DNA repair;DNA recombination;DNA binding;ATP binding;DNA damage response;nucleus	None	Homo sapiens;Homo sapiens	DNA repair protein RAD51 homolog 3;DNA repair protein XRCC3	None	11842113	RAD51C;XRCC3	None
260	RAD51B-RAD51C complex	Human	None	None	O15315;O43502	5890;5889	MI:0006- anti bait coimmunoprecipitation	GO:0006281;GO:0006310;GO:0003677;GO:0005524;GO:0006974;GO:0005634	DNA repair;DNA recombination;DNA binding;ATP binding;cellular response to DNA damage stimulus;nucleus	10.01.05;10.01.05.01;10.01.05.03;16.03.01;16.19.03;32.01.09;70.10	DNA recombination and DNA repair;DNA repair;DNA recombination;DNA binding;ATP binding;DNA damage response;nucleus	None	Homo sapiens;Homo sapiens	DNA repair protein RAD51 homolog 2;DNA repair protein RAD51 homolog 3	None	11744692	RAD51L1;RAD51C	None
261	RAD51B-RAD51C-RAD51D-XRCC2-XRCC3 complex	Human	None	None	O15315;O43502;O43542;O43543;O75771	5890;5889;7517;7516;5892	MI:0006- anti bait coimmunoprecipitation	GO:0006281;GO:0006310;GO:0003677;GO:0005524;GO:0006974;GO:0005634	DNA repair;DNA recombination;DNA binding;ATP binding;cellular response to DNA damage stimulus;nucleus	10.01.05;10.01.05.01;10.01.05.03;16.03.01;16.19.03;32.01.09;70.10	DNA recombination and DNA repair;DNA repair;DNA recombination;DNA binding;ATP binding;DNA damage response;nucleus	None	Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens	DNA repair protein RAD51 homolog 2;DNA repair protein RAD51 homolog 3;DNA repair protein XRCC3;DNA repair protein XRCC2;DNA repair protein RAD51 homolog 4	None	11744692	RAD51L1;RAD51C;XRCC3;XRCC2;RAD51L3	None
262	RAD51L3-XRCC2 complex	Human	None	None	O43543;O75771	7516;5892	MI:0096- pull down	GO:0006281;GO:0006310;GO:0003677;GO:0005524;GO:0006974;GO:0005634	DNA repair;DNA recombination;DNA binding;ATP binding;cellular response to DNA damage stimulus;nucleus	10.01.05;10.01.05.01;10.01.05.03;16.03.01;16.19.03;32.01.09;70.10	DNA recombination and DNA repair;DNA repair;DNA recombination;DNA binding;ATP binding;DNA damage response;nucleus	None	Homo sapiens;Homo sapiens	DNA repair protein XRCC2;DNA repair protein RAD51 homolog 4	None	10871607	XRCC2;RAD51L3	None
263	R/M complex (RAD50-MRE11 complex)	Human	None	None	P49959;Q92878	4361;10111	MI:0004- affinity chromatography technologies; MI:0428- imaging techniques	GO:0006308;GO:0006281;GO:0003677;GO:0006974;GO:0051276;GO:0005634	DNA catabolic process;DNA repair;DNA binding;cellular response to DNA damage stimulus;chromosome organization;nucleus	01.03.16;01.03.16.03;10.01.05;10.01.05.01;16.03.01;32.01.09;10.01.02;42.10.03;70.10	polynucleotide degradation;DNA degradation;DNA recombination and DNA repair;DNA repair;DNA binding;DNA damage response;DNA topology;organization of chromosome structure;nucleus	None	Homo sapiens;Homo sapiens	Double-strand break repair protein MRE11A;DNA repair protein RAD50	None	11741547	MRE11A;RAD50	R/M consists of two highly flexible intramolecular coiled coils emanating from a central globular DNA binding domain.
264	R/M complex (RAD50-MRE11 complex)	Human	None	None	P49959;Q92878	4361;10111	MI:0428- imaging techniques	GO:0006308;GO:0006281;GO:0003677;GO:0006974;GO:0051276;GO:0005634	DNA catabolic process;DNA repair;DNA binding;cellular response to DNA damage stimulus;chromosome organization;nucleus	01.03.16;01.03.16.03;10.01.05;10.01.05.01;16.03.01;32.01.09;10.01.02;42.10.03;70.10	polynucleotide degradation;DNA degradation;DNA recombination and DNA repair;DNA repair;DNA binding;DNA damage response;DNA topology;organization of chromosome structure;nucleus	None	Homo sapiens;Homo sapiens	Double-strand break repair protein MRE11A;DNA repair protein RAD50	None	15165861	MRE11A;RAD50	Human Rad50-Mre11 complexes are predominantly heterotetramers.
265	ATR-ATRIP complex	Human	None	None	Q13535;Q8WXE1	545;84126	MI:0091- chromatography technologies; MI:0071- molecular sieving	GO:0000075;GO:0003677;GO:0006974;GO:0005634	cell cycle checkpoint;DNA binding;cellular response to DNA damage stimulus;nucleus	10.03.01.03;16.03.01;32.01.09;70.10	cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);DNA binding;DNA damage response;nucleus	None	Homo sapiens;Homo sapiens	Serine/threonine-protein kinase ATR;ATR-interacting protein	None	14724280	ATR;ATRIP	ATR and ATRIP associate with chromatin in vivo, and they exist as a large molecular weight complex that can bind single-stranded (ss)DNA cellulose in vitro. Neither ATR nor ATRIP are able to bind DNA individually, nor do they bind DNA in a cooperative manner.
266	RAD17-RFC complex	Human	None	None	O75943;P35249;P35250;P40937;P40938	5884;5984;5982;5985;5983	MI:0004- affinity chromatography technologies; MI:0006- anti bait coimmunoprecipitation	GO:0006794;GO:0006796;GO:0000075;GO:0003677;GO:0005524;GO:0006974;GO:0005634	phosphorus utilization;phosphate-containing compound metabolic process;cell cycle checkpoint;DNA binding;ATP binding;cellular response to DNA damage stimulus;nucleus	01.04;10.03.01.03;16.03.01;16.19.03;32.01.09;70.10	phosphate metabolism;cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);DNA binding;ATP binding;DNA damage response;nucleus	None	Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens	Cell cycle checkpoint protein RAD17;Replication factor C subunit 4;Replication factor C subunit 2;Replication factor C subunit 5;Replication factor C subunit 3	None	11572977	RAD17;RFC4;RFC2;RFC5;RFC3	RFCp38 is necessary for the association of RAD17 with the core complex RFCp36-p37-p40 to form the RAD17-RFC complex. The ATPase activity of RAD17-RFC complex is stimulated by DNA.
267	Checkpoint 9-1-1 complex	Human	None	None	O60671;O60921;Q99638	5810;3364;5883	MI:0004- affinity chromatography technologies	GO:0006281;GO:0000075;GO:0006974;GO:0005634	DNA repair;cell cycle checkpoint;cellular response to DNA damage stimulus;nucleus	10.01.05;10.01.05.01;10.03.01.03;32.01.09;70.10	DNA recombination and DNA repair;DNA repair;cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);DNA damage response;nucleus	None	Homo sapiens;Homo sapiens;Homo sapiens	Cell cycle checkpoint protein RAD1;Checkpoint protein HUS1;Cell cycle checkpoint control protein RAD9A	None	11572977	RAD1;HUS1;RAD9A	None
268	Checkpoint Rad complex	Human	RAD17-RFC-9-1-1 complex	None	O60671;O60921;O75943;P35249;P35250;P40937;P40938;Q99638	5810;3364;5884;5984;5982;5985;5983;5883	MI:0004- affinity chromatography technologies; MI:0071- molecular sieving	GO:0000075;GO:0006974;GO:0005634	cell cycle checkpoint;cellular response to DNA damage stimulus;nucleus	10.03.01.03;32.01.09;70.10	cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);DNA damage response;nucleus	None	Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens	Cell cycle checkpoint protein RAD1;Checkpoint protein HUS1;Cell cycle checkpoint protein RAD17;Replication factor C subunit 4;Replication factor C subunit 2;Replication factor C subunit 5;Replication factor C subunit 3;Cell cycle checkpoint control protein RAD9A	None	11572977	RAD1;HUS1;RAD17;RFC4;RFC2;RFC5;RFC3;RAD9A	Checkpoint Rad complex has been detected in an in vitro system.
270	RAD17-RFC complex	Human	None	None	O75943;P35249;P35250;P40937;P40938	5884;5984;5982;5985;5983	MI:0004- affinity chromatography technologies; MI:0040- electron microscopy	GO:0006794;GO:0006796;GO:0000075;GO:0003677;GO:0005524;GO:0006974;GO:0005634	phosphorus utilization;phosphate-containing compound metabolic process;cell cycle checkpoint;DNA binding;ATP binding;cellular response to DNA damage stimulus;nucleus	01.04;10.03.01.03;16.03.01;16.19.03;32.01.09;70.10	phosphate metabolism;cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);DNA binding;ATP binding;DNA damage response;nucleus	None	Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens	Cell cycle checkpoint protein RAD17;Replication factor C subunit 4;Replication factor C subunit 2;Replication factor C subunit 5;Replication factor C subunit 3	None	11907025	RAD17;RFC4;RFC2;RFC5;RFC3	RAD17 makes a heteropentameric complex with the four RFC subunits with a deep groove or cleft and is similar to the RFC clamp loader.
271	Checkpoint 9-1-1 complex	Human	None	None	O60671;O60921;Q99638	5810;3364;5883	MI:0004- affinity chromatography technologies; MI:0040- electron microscopy	GO:0006281;GO:0000075;GO:0006974;GO:0005634	DNA repair;cell cycle checkpoint;cellular response to DNA damage stimulus;nucleus	10.01.05;10.01.05.01;10.03.01.03;32.01.09;70.10	DNA recombination and DNA repair;DNA repair;cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);DNA damage response;nucleus	None	Homo sapiens;Homo sapiens;Homo sapiens	Cell cycle checkpoint protein RAD1;Checkpoint protein HUS1;Cell cycle checkpoint control protein RAD9A	None	11907025	RAD1;HUS1;RAD9A	The checkpoint 9-1-1 complex makes a trimeric ring structure reminiscent of the PCNA ring.
272	Dysbindin-pallidin-muted-beta-dystrobrevin complex	Mouse	None	None	O70585;Q8R015;Q91WZ8;Q9R0C0	13528;17828;94245;18457	MI:0019- coimmunoprecipitation	GO:0007040;GO:0007033	lysosome organization;vacuole organization	42.25	vacuole or lysosome	None	Mus musculus;Mus musculus;Mus musculus;Mus musculus	Dystrobrevin beta;Protein Muted;Dysbindin;Pallidin	Dtnbp1 is involved in Hermansky-Pudlak syndrome type 7 (HPS-7).	12923531	Dtnb;Muted;Dtnbp1;Pldn	None
274	RAD17-RFC-9-1-1 checkpoint supercomplex	Human	None	None	O60671;O60921;O75943;P35249;P35250;P40937;P40938;Q99638	5810;3364;5884;5984;5982;5985;5983;5883	MI:0004- affinity chromatography technologies; MI:0029- cosedimentation through density gradients; MI:0040- electron microscopy	GO:0000075;GO:0003677;GO:0006974;GO:0005634	cell cycle checkpoint;DNA binding;cellular response to DNA damage stimulus;nucleus	10.03.01.03;16.03.01;32.01.09;70.10	cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);DNA binding;DNA damage response;nucleus	None	Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens	Cell cycle checkpoint protein RAD1;Checkpoint protein HUS1;Cell cycle checkpoint protein RAD17;Replication factor C subunit 4;Replication factor C subunit 2;Replication factor C subunit 5;Replication factor C subunit 3;Cell cycle checkpoint control protein RAD9A	None	12578958	RAD1;HUS1;RAD17;RFC4;RFC2;RFC5;RFC3;RAD9A	Rad17-RFC complex binds to nicked circular, gapped and primed DNA and recruits the 9-1-1 complex in an ATP-dependent manner. The interaction is mediated mainly by binding of Rad9 to Rad17.
275	Checkpoint 9-1-1 complex	Human	None	None	O60671;O60921;Q99638	5810;3364;5883	MI:0071- molecular sieving	GO:0006281;GO:0000075;GO:0006974;GO:0005634	DNA repair;cell cycle checkpoint;cellular response to DNA damage stimulus;nucleus	10.01.05;10.01.05.01;10.03.01.03;32.01.09;70.10	DNA recombination and DNA repair;DNA repair;cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);DNA damage response;nucleus	None	Homo sapiens;Homo sapiens;Homo sapiens	Cell cycle checkpoint protein RAD1;Checkpoint protein HUS1;Cell cycle checkpoint control protein RAD9A	None	11340080	RAD1;HUS1;RAD9A	None
276	Checkpoint 9-1-1 complex	Human	None	None	O60671;O60921;Q99638	5810;3364;5883	MI:0006- anti bait coimmunoprecipitation	GO:0006281;GO:0000075;GO:0006974;GO:0005634	DNA repair;cell cycle checkpoint;cellular response to DNA damage stimulus;nucleus	10.01.05;10.01.05.01;10.03.01.03;32.01.09;70.10	DNA recombination and DNA repair;DNA repair;cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);DNA damage response;nucleus	None	Homo sapiens;Homo sapiens;Homo sapiens	Cell cycle checkpoint protein RAD1;Checkpoint protein HUS1;Cell cycle checkpoint control protein RAD9A	None	9872989	RAD1;HUS1;RAD9A	None
